date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH
2015-08-17,175.57643127441406,102.83148193359375,22.754648208618164,83.16963195800781,107.12999725341797,12.909832954406738,21.118928909301758,73.41458892822266
2015-08-18,175.06785583496094,102.30546569824219,22.353410720825195,83.03682708740234,107.11000061035156,12.842196464538574,21.169052124023438,73.43067169189453
2015-08-19,173.6838836669922,101.63179016113281,22.126041412353516,83.54463195800781,108.55000305175781,12.698473930358887,21.03538703918457,73.44673156738281
2015-08-20,170.05711364746094,98.81714630126953,21.403812408447266,83.7712631225586,110.44000244140625,12.732291221618652,20.918432235717773,73.43067169189453
2015-08-21,164.93798828125,94.498291015625,20.859914779663086,84.10719299316406,111.12999725341797,12.520930290222168,20.71793556213379,73.43067169189453
2015-08-24,157.9929656982422,90.86231994628906,20.530004501342773,84.24781799316406,110.52999877929688,12.208118438720703,20.37542152404785,73.43067169189453
2015-08-25,156.1337127685547,90.5208511352539,20.35613441467285,83.78687286376953,109.16000366210938,12.258845329284668,20.517438888549805,73.43067169189453
2015-08-26,162.12828063964844,95.07968139648438,21.28789710998535,83.27122497558594,107.66999816894531,12.182756423950195,20.7680606842041,73.44673156738281
2015-08-27,166.13856506347656,97.48826599121094,21.996755599975586,83.2243423461914,107.7300033569336,12.622384071350098,20.90172576904297,73.43067169189453
2015-08-28,166.14691162109375,97.46983337402344,22.183996200561523,83.23997497558594,108.69999694824219,12.952103614807129,20.968557357788086,73.44673156738281
2015-08-31,164.8046112060547,96.26091003417969,22.090375900268555,83.09931182861328,108.81999969482422,13.264915466308594,20.935136795043945,73.44673156738281
2015-09-01,159.8855438232422,93.25245666503906,21.403812408447266,83.47261810302734,109.19999694824219,12.825288772583008,20.809829711914062,73.44673156738281
2015-09-02,162.92034912109375,95.88255310058594,21.934337615966797,83.24567413330078,108.62000274658203,12.935194969177246,20.918432235717773,73.43067169189453
2015-09-03,163.0370635986328,95.41189575195312,22.152790069580078,83.44910430908203,107.83999633789062,13.019739151000977,21.018678665161133,73.44673156738281
2015-09-04,160.56924438476562,94.27680206298828,21.805049896240234,83.70736694335938,107.48999786376953,12.85910701751709,20.99361801147461,73.43067169189453
2015-09-08,164.60450744628906,96.93458557128906,22.634273529052734,83.33953094482422,107.5199966430664,12.952103614807129,20.918432235717773,73.43067169189453
2015-09-09,162.40338134765625,95.84561920166016,22.290996551513672,83.37091064453125,106.12999725341797,12.7830171585083,20.918432235717773,73.43067169189453
2015-09-10,163.2871551513672,96.88842010498047,22.362323760986328,83.18303680419922,106.37999725341797,12.892922401428223,20.834890365600586,73.41458892822266
2015-09-11,164.0291748046875,97.42366027832031,22.402448654174805,83.40216827392578,106.16000366210938,12.876014709472656,20.742998123168945,73.43067169189453
2015-09-14,163.42059326171875,97.12836456298828,22.455947875976562,83.48045349121094,106.22000122070312,12.715381622314453,20.751352310180664,73.43067169189453
2015-09-15,165.46328735351562,98.27268981933594,22.785852432250977,82.82308959960938,105.9000015258789,12.757654190063477,20.834890365600586,73.41458892822266
2015-09-16,166.8972625732422,98.82640838623047,22.88839340209961,82.79961395263672,107.30999755859375,12.969012260437012,20.776411056518555,73.41458892822266
2015-09-17,166.52206420898438,98.8633041381836,22.741268157958984,83.4883041381836,108.41000366210938,12.884469985961914,20.5592098236084,73.41458892822266
2015-09-18,163.80088806152344,97.4571762084961,22.357868194580078,83.87958526611328,109.20999908447266,12.690018653869629,20.7680606842041,73.41458892822266
2015-09-21,164.6473388671875,97.762451171875,22.34449005126953,83.40216827392578,108.52999877929688,12.833745002746582,20.893369674682617,73.43067169189453
2015-09-22,162.51023864746094,96.30083465576172,21.880842208862305,83.81690216064453,107.79000091552734,12.757654190063477,20.985261917114258,73.43067169189453
2015-09-23,162.2504425048828,96.37483215332031,21.72480010986328,83.72301483154297,108.22000122070312,12.656200408935547,20.985261917114258,73.41458892822266
2015-09-24,161.6637725830078,96.02330780029297,21.71588706970215,83.84823608398438,110.48999786376953,12.732291221618652,20.918432235717773,73.41458892822266
2015-09-25,161.62188720703125,95.2092514038086,21.831796646118164,83.62909698486328,109.80999755859375,12.808379173278809,20.951847076416016,73.41458892822266
2015-09-28,157.565673828125,92.4987564086914,21.368144989013672,84.1064224243164,108.41999816894531,12.630837440490723,20.926782608032227,73.43067169189453
2015-09-29,157.65782165527344,92.0177230834961,21.51526641845703,84.3959732055664,107.9800033569336,12.715381622314453,20.893369674682617,73.43067169189453
2015-09-30,160.5994873046875,94.13614654541016,22.23749351501465,84.41161346435547,106.86000061035156,12.808379173278809,20.968557357788086,73.41458892822266
2015-10-01,161.0184783935547,94.56167602539062,22.090375900268555,84.47748565673828,106.7300033569336,12.723835945129395,20.9601993560791,73.43067169189453
2015-10-02,163.42372131347656,96.21758270263672,22.4381160736084,84.885009765625,108.98999786376953,12.808379173278809,20.910076141357422,73.43067169189453
2015-10-05,166.3318328857422,97.59593200683594,22.834896087646484,84.41480255126953,108.7699966430664,12.97746753692627,20.918432235717773,73.41458892822266
2015-10-06,165.76190185546875,97.1333999633789,22.928512573242188,84.5871810913086,109.86000061035156,13.231097221374512,20.776411056518555,73.41458892822266
2015-10-07,167.11962890625,97.71620178222656,23.27179527282715,84.37559509277344,109.69999694824219,13.205735206604004,20.801475524902344,73.41458892822266
2015-10-08,168.6281280517578,98.10475158691406,23.57049560546875,84.1561508178711,109.13999938964844,13.264915466308594,20.751352310180664,73.41458892822266
